Created_at,Tweet,Retweet_count,Favourite_count,User,Followers,Location,Si
2023-01-07 23:43:44+00:00, hotspurs at the top of my suicide note,0,0,1kayfiji,228,aka astra/ lotus ,1
2023-01-08 02:44:02+00:00,why is he wearing a chrome hoodie,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:42:45+00:00,me sharing my favorite songs on my IG stories when nobody asked ,3970,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:41:31+00:00, man beat death,0,0,1kayfiji,228,aka astra/ lotus ,1
2023-01-08 02:41:08+00:00, i have never seen your opps come back gracefully like ever not once,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:31:33+00:00, genuinely,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:30:01+00:00,why is it called liquid death if its just water,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:28:37+00:00, hey lonely,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:25:21+00:00,This one. I didn't think so many people would like it lol ,168,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:23:56+00:00,brent rambo out there stepping,2,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:23:33+00:00, LMFAOOOOOOO,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:21:30+00:00, there will be three black dodge chargers outside your home ,0,2,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:19:15+00:00,who the fuck is smoking the jigarette ,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:18:37+00:00, siddhi world was so hard i still cant get over it,0,1,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 02:07:49+00:00, i still have to play it but isnt that pa of like one of the biggest plot points in the whole story,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 01:11:42+00:00,hot girlsssss ,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 01:06:32+00:00, its crazy bc even tho im very late i can still hear his sound in the current waveyall were no ,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 01:05:44+00:00, yep i was born in 2007 i wasnt really concious when he was making noise,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-08 01:05:15+00:00, someone wrote that copy pasta out for another person i follow i j thought it was silly,0,0,1kayfiji,228,aka astra/ lotus ,0
2023-01-07 22:42:02+00:00,"  I had two from 1991 -Jan 2022
Bella was 2 from the Humane Society. She tapped me on ",0,0,515angel,785,New England,0
2023-01-08 02:01:40+00:00,  It's true. I lived in Australia for nearly two years. The first question  people woukd a ,0,1,515angel,785,New England,0
2023-01-07 22:42:02+00:00,"  Was this a good guy with a gun at a school? 
Intended Sarcasm.",0,0,515angel,785,New England,0
2023-01-07 22:20:27+00:00,"  My thoughts exactly, when it happened.",0,0,515angel,785,New England,0
2023-01-07 22:17:45+00:00, Still Following,0,1,515angel,785,New England,0
2023-01-07 22:14:02+00:00,  You're wearing little shoes! ,0,1,515angel,785,New England,0
2023-01-07 21:52:48+00:00,  I'm sorry for your loss. I lost my cat a year ago and still miss her. I'm finally re ,0,1,515angel,785,New England,0
2023-01-07 21:46:45+00:00, You too!,0,2,515angel,785,New England,0
2023-01-07 21:34:08+00:00,This has been floating around a long time  ,0,0,515angel,785,New England,0
2023-01-07 21:27:27+00:00,"  Federal investigators increase reward for information leading to the arrest of the Capitol pipe bomber from $100,000 to $500,0",0,1,515angel,785,New England,0
2023-01-07 14:30:49+00:00,The  is a beautiful place. I have two girls there.I hope you make friends. ,0,0,515angel,785,New England,0
2023-01-07 14:26:18+00:00, Neither is Gaetz,2,3,515angel,785,New England,0
2023-01-07 14:17:45+00:00," Yeah Direct line, I'm sure. I don't think he'll win a  primary,  but I think she's been chosen VP for his 24 'run.'",524,0,515angel,785,New England,0
2023-01-07 14:03:18+00:00,Im tired of livingIm tired of existing  But I will never do anything about it cause Im a loser A fucking lose ,0,0,515angel,785,New England,1
2023-01-07 13:59:37+00:00, Thanks for caring simple,0,0,515angel,785,New England,0
2023-01-07 13:02:00+00:00, Just don't say anything Don't feel obligated to Just care for yourself before you give advice to ,2,8,515angel,785,New England,0
2023-01-07 06:01:24+00:00,"Alright, I think I am going on official hiatus When will I be back? I have no clue just take care you guys, cya",0,0,515angel,785,New England,0
2023-01-07 05:48:34+00:00,It's a cycleI get sadI get angryI realize RinseRepeat My doomed cycle of living my funny life ...Maybe ,0,0,515angel,785,New England,1
2023-01-08 01:43:00+00:00,"  thought process, me deciding to go away for school had a lot to do with the danger factor. I just ",0,0,A3000KindOfLove,158,New York,1
2023-01-08 01:43:13+00:00,"  the park invitation was already out there, so I couldn't take it back now}",0,0,A3000KindOfLove,158,New York,0
2023-01-08 01:43:12+00:00,"  know if I could trust him with my secret, yet I didn't want to continue a friendship based on lie ",0,0,A3000KindOfLove,158,New York,0
2023-01-08 01:43:11+00:00,"  a ticket. {Was this a date? I don't even know, at this point. I mean, obviously my wall was up, b ",0,0,A3000KindOfLove,158,New York,0
2023-01-08 01:43:10+00:00,"  uncomfoable between us} Anyway, there's a movie in the park thing happening tomorrow night... D ",0,0,A3000KindOfLove,158,New York,0
2023-01-08 01:43:08+00:00,  really was... He was my hero... The best guy I knew... He was my best friend. {I muttered out qui ,0,0,A3000KindOfLove,158,New York,0
2023-01-08 01:43:07+00:00,"  topic of my dad's death was a touchy one for me. Still, even though my instinct was to pull my ha ",0,0,A3000KindOfLove,158,New York,0
2023-01-07 11:09:01+00:00,My fellow zlarpers staring at my suicide note in absolutely horror and terror as they read the broken mind of a man ,0,3,AlcoholicKidku,185,OtherWorld,1
2023-01-08 03:15:21+00:00,Prepare for more bombardment from me again,0,1,AlcoholicKidku,185,OtherWorld,0
